Time(s)    x(m)   y(m)   vx(m/s)   vy(m/s) 
13.35 367.7417820990834 -172.1302823639949 22.8066250364949 -30.32652822724999
 13.4 368.8828450074099 -173.6472202149553 22.83586934237143 -30.35087231047568
13.45 370.025366808285 -175.1653583332869 22.86498014990553 -30.37454068557241
 13.5 371.1693407394552 -176.6846631974053 22.89395398445824 -30.3975438914077
13.55 372.3147598677435 -178.2051018105583 22.92278748345137 -30.41989238223415
 13.6 373.4616170946115 -179.7266416965722 22.95147739473705 -30.44159652678822
13.65 374.6099051616401 -181.249250895554 22.98002057496845 -30.46266660744121
 13.7 375.7596166559292 -182.7728979595536 23.00841398797231 -30.48311281940089
13.75 376.9107440154154 -184.2975519481867 23.03665470312402 -30.50294526996319
 13.8 378.063279534109 -185.823182424221 23.06473989372587 -30.52217397781252
13.85 379.2172153672499 -187.3497594491296 23.09266683538898 -30.54080887236996
 13.9 380.3725435363824 -188.8772535786125 23.1204329044196 -30.55885979318818
13.95 381.5292559343504 -190.4056358580887 23.14803557621048 -30.5763364893919
   14 382.6873443302108 -191.934877818162 23.17547242363755 -30.59324861916315
14.05 383.8468003740684 -193.4649514700616 23.20274111546278 -30.60960574927016
 14.1 385.0076156018299 -194.9958293010612 23.22983941474356 -30.62541735463871
14.15 386.1697814398793 -196.5274842698762 23.25676517724914 -30.64069281796532
 14.2 387.3332892096739 -198.059889802044 23.28351634988465 -30.65544142937084
14.25 388.4981301322622 -199.5930197852871 23.31009096912314 -30.66967238609383
 14.3 389.6642953327229 -201.1268485648621 23.33648715944612 -30.68339479222248
14.35 390.8317758445267 -202.6613509388966 23.36270313179302 -30.69661765846424
 14.4 392.0005626138206 -204.1965021537148 23.38873718201995 -30.70934990195216
